pair,signal,conf,entry,sl,tp,outcome,pnl_r
BTCUSDT,SHORT,100,16520.81,16548.3661,16438.1418,LOSS,-1.0
BTCUSDT,LONG,100,67177.06,66271.7839,69892.8882,WIN,3.0
BTCUSDT,LONG,100,69319.39,69074.8418,70053.0346,WIN,3.0
ETHUSDT,SHORT,100,1835.75,1844.1029,1810.6914,LOSS,-1.0
ETHUSDT,SHORT,100,1531.16,1571.5843,1409.8871,WIN,3.0
BNBUSDT,LONG,100,720.37,714.1375,739.0675,LOSS,-1.0
SOLUSDT,SHORT,100,50.37,52.9118,42.7446,LOSS,-1.0
SOLUSDT,LONG,100,43.14,42.4682,45.1554,WIN,3.0
SOLUSDT,LONG,100,24.62,24.3454,25.4439,LOSS,-1.0
XRPUSDT,LONG,100,0.3745,0.3671,0.3967,WIN,3.0
XRPUSDT,LONG,100,1.4539,1.4308,1.5232,LOSS,-1.0
XRPUSDT,SHORT,100,1.3266,1.3324,1.3091,LOSS,-1.0
ADAUSDT,LONG,100,0.2966,0.2933,0.3065,LOSS,-1.0
DOGEUSDT,LONG,100,0.094,0.0934,0.0956,LOSS,-1.0
LINKUSDT,LONG,100,36.857,35.9807,39.486,LOSS,-1.0
